id,name,sameAs,validThrough,validFrom
ocd-division/country:ru,Russian Federation,,,
ocd-division/country:ru/state:ad,Republic of Adygea,,,
ocd-division/country:ru/state:ad/ed:1,Adygea,ocd-division/country:ru/state:ad/ed:adygea,,
ocd-division/country:ru/state:ad/ed:adygea,Adygea,,,
ocd-division/country:ru/state:al,Altai Republic,,,
ocd-division/country:ru/state:al/ed:2,Altai,ocd-division/country:ru/state:al/ed:altai,,
ocd-division/country:ru/state:al/ed:altai,Altai,,,
ocd-division/country:ru/state:alt,Altai Krai,,,
ocd-division/country:ru/state:alt/ed:39,Barnaulsky,ocd-division/country:ru/state:alt/ed:barnaulsky,,
ocd-division/country:ru/state:alt/ed:40,Rubtsovsky,,2025-05-23,
ocd-division/country:ru/state:alt/ed:41,Biysk,ocd-division/country:ru/state:alt/ed:biysk,,
ocd-division/country:ru/state:alt/ed:42,Slavgorod,ocd-division/country:ru/state:alt/ed:slavgorod,,
ocd-division/country:ru/state:alt/ed:barnaulsky,Barnaulsky,,,
ocd-division/country:ru/state:alt/ed:biysk,Biysk,,,
ocd-division/country:ru/state:alt/ed:slavgorod,Slavgorod,,,
ocd-division/country:ru/state:amu,Amur Oblast,,,
ocd-division/country:ru/state:amu/ed:71,Amursky,ocd-division/country:ru/state:amu/ed:amursky,,
ocd-division/country:ru/state:amu/ed:amursky,Amursky,,,
ocd-division/country:ru/state:ark,Arkhangelsk Oblast,,,
ocd-division/country:ru/state:ark/ed:72,Arkhangelsky,ocd-division/country:ru/state:ark/ed:arkhangelsky,,
ocd-division/country:ru/state:ark/ed:73,Kotlas,ocd-division/country:ru/state:ark/ed:kotlas,,
ocd-division/country:ru/state:ark/ed:arkhangelsky,Arkhangelsky,,,
ocd-division/country:ru/state:ark/ed:kotlas,Kotlas,,,
ocd-division/country:ru/state:ast,Astrakhan Oblast,,,
ocd-division/country:ru/state:ast/ed:74,Astrakhan,ocd-division/country:ru/state:ast/ed:astrakhan,,
ocd-division/country:ru/state:ast/ed:astrakhan,Astrakhan,,,
ocd-division/country:ru/state:ba,Republic of Bashkortostan,,,
ocd-division/country:ru/state:ba/ed:3,Ufimsky,ocd-division/country:ru/state:ba/ed:ufimsky,,
ocd-division/country:ru/state:ba/ed:4,Blagoveshchensky,ocd-division/country:ru/state:ba/ed:blagoveshchensky,,
ocd-division/country:ru/state:ba/ed:5,Beloretsky,ocd-division/country:ru/state:ba/ed:beloretsky,,
ocd-division/country:ru/state:ba/ed:6,Neftekamsk,ocd-division/country:ru/state:ba/ed:neftekamsk,,
ocd-division/country:ru/state:ba/ed:7,Salavat,ocd-division/country:ru/state:ba/ed:salavat,,
ocd-division/country:ru/state:ba/ed:8,Sterlitamak,ocd-division/country:ru/state:ba/ed:sterlitamak,,
ocd-division/country:ru/state:ba/ed:beloretsky,Beloretsky,,,
ocd-division/country:ru/state:ba/ed:blagoveshchensky,Blagoveshchensky,,,
ocd-division/country:ru/state:ba/ed:neftekamsk,Neftekamsk,,,
ocd-division/country:ru/state:ba/ed:salavat,Salavat,,,
ocd-division/country:ru/state:ba/ed:sterlitamak,Sterlitamak,,,
ocd-division/country:ru/state:ba/ed:ufimsky,Ufimsky,,,
ocd-division/country:ru/state:bel,Belgorod Oblast,,,
ocd-division/country:ru/state:bel/ed:75,Belgorodsky,ocd-division/country:ru/state:bel/ed:belgorodsky,,
ocd-division/country:ru/state:bel/ed:76,Stary Oskol,ocd-division/country:ru/state:bel/ed:stary_oskol,,
ocd-division/country:ru/state:bel/ed:belgorodsky,Belgorodsky,,,
ocd-division/country:ru/state:bel/ed:stary_oskol,Stary Oskol,,,
ocd-division/country:ru/state:bry,Bryansk Oblast,,,
ocd-division/country:ru/state:bry/ed:77,Bryansky,ocd-division/country:ru/state:bry/ed:bryansky,,
ocd-division/country:ru/state:bry/ed:78,Unecha,ocd-division/country:ru/state:bry/ed:unecha,,
ocd-division/country:ru/state:bry/ed:bryansky,Bryansky,,,
ocd-division/country:ru/state:bry/ed:unecha,Unecha,,,
ocd-division/country:ru/state:bu,Republic of Buryatia,,,
ocd-division/country:ru/state:bu/ed:9,Buryatia,ocd-division/country:ru/state:bu/ed:buryatia,,
ocd-division/country:ru/state:bu/ed:buryatia,Buryatia,,,
ocd-division/country:ru/state:ce,Chechen Republic,,,
ocd-division/country:ru/state:ce/ed:36,Chechnya,ocd-division/country:ru/state:ce/ed:chechnya,,
ocd-division/country:ru/state:ce/ed:chechnya,Chechnya,,,
ocd-division/country:ru/state:che,Chelyabinsk Oblast,,,
ocd-division/country:ru/state:che/ed:189,Chelyabinsk,ocd-division/country:ru/state:che/ed:chelyabinsk,,
ocd-division/country:ru/state:che/ed:190,Metallurgichesky,ocd-division/country:ru/state:che/ed:metallurgichesky,,
ocd-division/country:ru/state:che/ed:191,Korkino,ocd-division/country:ru/state:che/ed:korkino,,
ocd-division/country:ru/state:che/ed:192,Magnitogorsk,ocd-division/country:ru/state:che/ed:magnitogorsk,,
ocd-division/country:ru/state:che/ed:193,Zlatoust,ocd-division/country:ru/state:che/ed:zlatoust,,
ocd-division/country:ru/state:che/ed:chelyabinsk,Chelyabinsk,,,
ocd-division/country:ru/state:che/ed:korkino,Korkino,,,
ocd-division/country:ru/state:che/ed:magnitogorsk,Magnitogorsk,,,
ocd-division/country:ru/state:che/ed:metallurgichesky,Metallurgichesky,,,
ocd-division/country:ru/state:che/ed:zlatoust,Zlatoust,,,
ocd-division/country:ru/state:chu,Chukotka Autonomous Okrug,,,
ocd-division/country:ru/state:chu/ed:224,Chukotsky,ocd-division/country:ru/state:chu/ed:chukotsky,,
ocd-division/country:ru/state:chu/ed:chukotsky,Chukotsky,,,
ocd-division/country:ru/state:cu,Chuvash Republic,,,
ocd-division/country:ru/state:cu/ed:37,Kanash,ocd-division/country:ru/state:cu/ed:kanash,,
ocd-division/country:ru/state:cu/ed:38,Cheboksarsky,ocd-division/country:ru/state:cu/ed:cheboksarsky,,
ocd-division/country:ru/state:cu/ed:cheboksarsky,Cheboksarsky,,,
ocd-division/country:ru/state:cu/ed:kanash,Kanash,,,
ocd-division/country:ru/state:da,Republic of Dagestan,,,
ocd-division/country:ru/state:da/ed:10,Makhachkala,ocd-division/country:ru/state:da/ed:makhachkala,,
ocd-division/country:ru/state:da/ed:11,Buynaksk,ocd-division/country:ru/state:da/ed:buynaksk,,
ocd-division/country:ru/state:da/ed:12,Derbent,ocd-division/country:ru/state:da/ed:derbent,,
ocd-division/country:ru/state:da/ed:buynaksk,Buynaksk,,,
ocd-division/country:ru/state:da/ed:derbent,Derbent,,,
ocd-division/country:ru/state:da/ed:makhachkala,Makhachkala,,,
ocd-division/country:ru/state:in,Republic of Ingushetia,,,
ocd-division/country:ru/state:in/ed:13,Ingushetia,ocd-division/country:ru/state:in/ed:ingushetia,,
ocd-division/country:ru/state:in/ed:ingushetia,Ingushetia,,,
ocd-division/country:ru/state:irk,Irkutsk Oblast,,,
ocd-division/country:ru/state:irk/ed:93,Irkutsky,ocd-division/country:ru/state:irk/ed:irkutsky,,
ocd-division/country:ru/state:irk/ed:94,Angarsk,ocd-division/country:ru/state:irk/ed:angarsk,,
ocd-division/country:ru/state:irk/ed:95,Shelekhov,ocd-division/country:ru/state:irk/ed:shelekhov,,
ocd-division/country:ru/state:irk/ed:96,Bratsk,ocd-division/country:ru/state:irk/ed:bratsk,,
ocd-division/country:ru/state:irk/ed:angarsk,Angarsk,,,
ocd-division/country:ru/state:irk/ed:bratsk,Bratsk,,,
ocd-division/country:ru/state:irk/ed:irkutsky,Irkutsky,,,
ocd-division/country:ru/state:irk/ed:shelekhov,Shelekhov,,,
ocd-division/country:ru/state:iva,Ivanovo Oblast,,,
ocd-division/country:ru/state:iva/ed:91,Ivanovo,,2025-05-23,
ocd-division/country:ru/state:iva/ed:92,Kineshma,,2025-05-23,
ocd-division/country:ru/state:iva/ed:ivanovo,Ivanovo,,,2025-05-23
ocd-division/country:ru/state:kam,Kamchatka Krai,,,
ocd-division/country:ru/state:kam/ed:45,Kamchatka,ocd-division/country:ru/state:kam/ed:kamchatka,,
ocd-division/country:ru/state:kam/ed:kamchatka,Kamchatka,,,
ocd-division/country:ru/state:kb,Kabardino-Balkarian Republic,,,
ocd-division/country:ru/state:kb/ed:14,Kabardino-Balkaria,ocd-division/country:ru/state:kb/ed:kabardino-balkaria,,
ocd-division/country:ru/state:kb/ed:kabardino-balkaria,Kabardino-Balkaria,,,
ocd-division/country:ru/state:kc,Karachay-Cherkess Republic,,,
ocd-division/country:ru/state:kc/ed:16,Karachay-Cherkessia,ocd-division/country:ru/state:kc/ed:karachay-cherkessia,,
ocd-division/country:ru/state:kc/ed:karachay-cherkessia,Karachay-Cherkessia,,,
ocd-division/country:ru/state:kda,Krasnodar Krai,,,
ocd-division/country:ru/state:kda/ed:46,Krasnodar,,2025-05-23,
ocd-division/country:ru/state:kda/ed:47,Krasnoarmeyskiy,,2025-05-23,
ocd-division/country:ru/state:kda/ed:48,Slavic,,2025-05-23,
ocd-division/country:ru/state:kda/ed:49,Tuapse,,2025-05-23,
ocd-division/country:ru/state:kda/ed:50,Sochi,,2025-05-23,
ocd-division/country:ru/state:kda/ed:51,Tikhoretsk,,2025-05-23,
ocd-division/country:ru/state:kda/ed:52,Armavir,,2025-05-23,
ocd-division/country:ru/state:kda/ed:53,Kanev,,2025-05-23,
ocd-division/country:ru/state:kda/ed:chernomorsky,Chernomorsky,,,2025-05-23
ocd-division/country:ru/state:kda/ed:krasnodar_-_central,Krasnodar - Central,,,2025-05-23
ocd-division/country:ru/state:kda/ed:krasnodar_-_east,Krasnodar - East,,,2025-05-23
ocd-division/country:ru/state:kda/ed:krasnodar_-_north,Krasnodar - North,,,2025-05-23
ocd-division/country:ru/state:kda/ed:krasnodar_-_north-west,Krasnodar - North-West,,,2025-05-23
